"","sex","total_positive","case_percent","deaths","deaths_percent","ca_percent","month","day"
"1","Female",5015,NA,NA,NA,NA,4,2
"2","Male",5547,NA,NA,NA,NA,4,2
"3","Female",5674,NA,NA,NA,NA,4,3
"4","Male",6202,NA,NA,NA,NA,4,3
"5","Female",6349,NA,NA,NA,NA,4,4
"6","Male",6876,NA,NA,NA,NA,4,4
"7","Female",6740,NA,NA,NA,NA,4,5
"8","Male",7296,NA,NA,NA,NA,4,5
"9","Female",7600,NA,NA,NA,NA,4,6
"10","Male",7957,NA,NA,NA,NA,4,6
"11","Female",8108,NA,NA,NA,NA,4,7
"12","Male",8488,NA,NA,NA,NA,4,7
"13","Female",8776,NA,NA,NA,NA,4,8
"14","Male",9130,NA,NA,NA,NA,4,8
"15","Female",9387,NA,NA,NA,NA,4,9
"16","Male",9745,NA,NA,NA,NA,4,9
"17","Female",9981,NA,NA,NA,NA,4,10
"18","Male",10330,NA,NA,NA,NA,4,10
"21","Female",10571,NA,NA,NA,NA,4,11
"22","Male",10926,NA,NA,NA,NA,4,11
"23","Female",10877,NA,NA,NA,NA,4,12
"24","Male",11256,NA,NA,NA,NA,4,12
"25","Female",11352,NA,NA,NA,NA,4,13
"26","Male",11772,NA,NA,NA,NA,4,13
"27","Female",11934,NA,NA,NA,NA,4,14
"28","Male",12265,NA,NA,NA,NA,4,14
"29","Female",12771,NA,NA,NA,NA,4,15
"30","Male",13169,NA,NA,NA,NA,4,15
"31","Female",13424,NA,NA,NA,NA,4,16
"32","Male",13865,NA,NA,NA,NA,4,16
"33","Female",14185,NA,NA,NA,NA,4,17
"34","Male",14535,NA,NA,NA,NA,4,17
"35","Female",14902,NA,NA,NA,NA,4,18
"36","Male",15185,NA,NA,NA,NA,4,18
"37","Female",15224,NA,NA,NA,NA,4,19
"38","Male",15507,NA,NA,NA,NA,4,19
"39","Female",16363,NA,NA,NA,NA,4,20
"40","Male",16641,NA,NA,NA,NA,4,20
"41","Female",17411,NA,NA,NA,NA,4,21
"42","Male",17718,NA,NA,NA,NA,4,21
"43","Female",18395,49.23,552,39.54,50.31,4,22
"44","Male",18690,50.01,839,60.1,49.69,4,22
"45","Female",19394,49.41,593,39.82,50.31,4,23
"46","Male",19577,49.87,891,59.84,49.69,4,23
"47","Female",20395,49.58,625,39.73,50.31,4,24
"48","Male",20459,49.73,944,60.01,49.69,4,24
"49","Female",20908,49.59,657,39.89,50.31,4,25
"50","Male",20957,49.7,986,59.87,49.69,4,25
"51","Female",21562,49.61,664,39.62,50.31,4,26
"52","Male",21600,49.7,1007,60.08,49.69,4,26
"53","Female",22384,49.71,688,39.98,50.31,4,27
"54","Male",22337,49.6,1028,59.73,49.69,4,27
"55","Female",23154,49.79,725,40.08,50.31,4,28
"56","Male",23045,49.56,1079,59.65,49.69,4,28
"57","Female",24247,49.57,764,40.42,50.31,4,29
"58","Male",24372,49.82,1121,59.31,49.69,4,29
"59","Female",24973,49.5,812,40.8,50.31,4,30
"60","Male",25167,49.9,1171,58.9,49.69,4,30
"61","Female",25881,49.58,858,41.19,50.31,5,1
"62","Male",26006,49.82,1220,58.57,49.69,5,1
"63","Female",26556,49.5,887,41.5,50.3,5,2
"64","Male",26716,49.8,1246,58.3,49.7,5,2
"65","Female",27239,49.58,905,41.55,50.3,5,3
"66","Male",27332,49.75,1268,58.22,49.7,5,3
"67","Female",27853,49.5,929,41.8,50.3,5,4
"68","Male",27980,49.8,1287,57.9,49.7,5,4
"69","Female",29190,49.6,990,42.6,50.3,5,5
"70","Male",29193,49.6,1330,57.2,49.7,5,5
"71","Female",30109,49.7,1039,43.1,50.3,5,6
"72","Male",30096,49.7,1368,56.7,49.7,5,6
"73","Female",30972,49.5,1061,42.6,50.3,5,7
"74","Male",31111,49.8,1427,57.2,49.7,5,7
"75","Female",31756,49.2,1101,42.7,50.3,5,8
"76","Male",32379,50.2,1470,57.1,49.7,5,8
"77","Female",32660,49,1144,43.1,50.3,5,9
"78","Male",33584,50.4,1509,56.8,49.7,5,9
"79","Female",33291,49,1161,43.1,50.3,5,10
"80","Male",34221,50.4,1526,56.7,49.7,5,10
"81","Female",33992,49,1187,43.1,50.3,5,11
"82","Male",34955,50.4,1561,56.7,49.7,5,11
"83","Female",34851,49,1230,43.2,50.3,5,12
"84","Male",35845,50.4,1612,56.6,49.7,5,12
"85","Female",35890,49.1,1267,43.3,50.3,5,13
"86","Male",36826,50.3,1655,56.6,49.7,5,13
"87","Female",36728,49,1315,43.4,50.3,5,14
"88","Male",37744,50.4,1710,56.5,49.7,5,14
"89","Female",37676,49.1,1363,43.7,50.3,5,15
"90","Male",38647,50.3,1752,56.2,49.7,5,15
"91","Female",38662,49,1397,43.9,50.3,5,16
"92","Male",39701,50.4,1778,55.9,49.7,5,16
"93","Female",39425,49,1412,43.9,50.3,5,17
"94","Male",40533,50.4,1800,56,49.7,5,17
"95","Female",40105,49,1426,43.9,50.3,5,18
"96","Male",41214,50.4,1820,56,49.7,5,18
"97","Female",41226,49,1483,44,50.3,5,19
"98","Male",42336,50.4,1887,55.9,49.7,5,19
"99","Female",42252,49,1521,44.1,50.3,5,20
"100","Male",43450,50.4,1926,55.8,49.7,5,20
"101","Female",43272,48.9,1562,44.1,50.3,5,21
"102","Male",44534,50.4,1978,55.8,49.7,5,21
"103","Female",44539,49.1,1584,44.1,50.3,5,22
"104","Male",45580,50.3,2000,55.7,49.7,5,22
"105","Female",45597,49.2,1608,44.1,50.3,5,23
"106","Male",46595,50.3,2033,55.8,49.7,5,23
"107","Female",46544,49.2,1616,44.1,50.3,5,24
"108","Male",47490,50.2,2045,55.8,49.7,5,24
"109","Female",47595,49.2,1620,44,50.3,5,25
"110","Male",48614,50.3,2054,55.8,49.7,5,25
"111","Female",48739,49.2,1631,44,50.3,5,26
"112","Male",49714,50.2,2071,55.9,49.7,5,26
"113","Female",50091,49.3,1682,44.1,50.3,5,27
"114","Male",51067,50.2,2129,55.8,49.7,5,27
"115","Female",51169,49.3,1725,44.2,50.3,5,28
"116","Male",52177,50.2,2173,55.7,49.7,5,28
"117","Female",52561,49.2,1759,44.1,50.3,5,29
"118","Male",53765,50.3,2220,55.7,49.7,5,29
"119","Female",54396,49.2,1784,44.1,50.3,5,30
"120","Male",55627,50.3,2253,55.7,49.7,5,30
"121","Female",55605,49.2,1797,44,50.3,5,31
"122","Male",56841,50.3,2277,55.8,49.7,5,31
"123","Female",56728,49.2,1816,44,50.3,6,1
"124","Male",58001,50.3,2305,55.9,49.7,6,1
"125","Female",57878,49.2,1866,44.1,50.3,6,2
"126","Male",59237,50.3,2359,55.8,49.7,6,2
"127","Female",58886,49.2,1894,44.1,50.3,6,3
"128","Male",60336,50.4,2398,55.8,49.7,6,3
"129","Female",60404,49.1,1921,44,50.3,6,4
"130","Male",61884,50.4,2441,55.9,49.7,6,4
"131","Female",61848,49.1,1947,43.9,50.3,6,5
"132","Male",63565,50.4,2482,56,49.7,6,5
"133","Female",63173,49,1979,44,50.3,6,6
"134","Male",65024,50.5,2516,55.9,49.7,6,6
"135","Female",64392,49,1991,44,50.3,6,7
"136","Male",66303,50.5,2531,55.9,49.7,6,7
"137","Female",65556,49.1,2008,44,50.3,6,8
"138","Male",67306,50.4,2545,55.8,49.7,6,8
"139","Female",66889,49.1,2047,43.9,50.3,6,9
"140","Male",68667,50.4,2609,56,49.7,6,9
"141","Female",68430,49.1,2094,43.9,50.3,6,10
"142","Male",70212,50.4,2669,56,49.7,6,10
"143","Female",69729,49.1,2126,44,50.3,6,11
"144","Male",71605,50.4,2700,55.9,49.7,6,11
"145","Female",71501,49.1,2146,44,50.3,6,12
"146","Male",73480,50.5,2727,55.9,49.7,6,12
"147","Female",73095,49.1,2184,44,50.3,6,13
"148","Male",75088,50.4,2772,55.9,49.7,6,13
"149","Female",74350,49.1,2189,44,50.3,6,14
"150","Male",76412,50.5,2786,55.9,49.7,6,14
"151","Female",75416,49.1,2197,43.9,50.3,6,15
"152","Female",264666,49.9,4129,42.7,50.3,8,5
"153","Male",259382,48.9,5516,57.1,49.7,8,5
"154","Male",77466,50.4,2800,56,49.7,6,15
"155","Female",77199,49.2,2226,44,50.3,6,16
"156","Male",79128,50.4,2833,55.9,49.7,6,16
"157","Female",79243,49.2,2260,44,50.3,6,17
"158","Male",81212,50.4,2877,56,49.7,6,17
"159","Female",81326,49.2,2307,43.9,50.3,6,18
"160","Male",83438,50.4,2937,55.9,49.7,6,18
"161","Female",83285,49.2,2328,43.8,50.3,6,19
"162","Male",85352,50.4,2984,56.1,49.7,6,19
"163","Female",85516,49.2,2368,43.8,50.3,6,20
"164","Male",87602,50.4,3028,56.1,49.7,6,20
"165","Female",87641,49.2,2372,43.7,50.3,6,21
"166","Male",89690,50.4,3047,56.2,49.7,6,21
"167","Female",90119,49.2,2384,43.8,50.3,6,22
"168","Male",92199,50.4,3055,56.1,49.7,6,22
"169","Female",93554,49.2,2397,43.6,50.3,6,23
"170","Male",95884,50.4,3095,56.3,49.7,6,23
"171","Female",96068,49.1,2445,43.6,50.3,6,24
"172","Male",98718,50.5,3151,56.2,49.7,6,24
"173","Female",98564,49.2,2500,43.7,50.3,6,25
"174","Male",101070,50.4,3210,56.1,49.7,6,25
"175","Female",101509,49.2,2524,43.6,50.3,6,26
"176","Male",104025,50.4,3255,56.3,49.7,6,26
"177","Female",103517,49.2,2531,43.6,50.3,6,27
"178","Male",105949,50.4,3272,56.3,49.7,6,27
"179","Female",106610,49.2,2554,43.7,50.3,6,28
"180","Male",108973,50.3,3289,56.2,49.7,6,28
"181","Female",109850,49.3,2566,43.7,50.3,6,29
"182","Male",112043,50.3,3304,56.2,49.7,6,29
"183","Female",114626,49.3,2607,43.6,50.3,6,30
"184","Male",116952,50.3,3363,56.3,49.7,6,30
"185","Female",118389,49.3,2644,43.6,50.3,7,1
"186","Male",120678,50.2,3407,56.2,49.7,7,1
"187","Female",122484,49.3,2701,43.7,50.3,7,2
"188","Male",124555,50.2,3475,56.2,49.7,7,2
"189","Female",125717,49.4,2731,43.7,50.3,7,3
"190","Male",127760,50.2,3508,56.2,49.7,7,3
"191","Female",128461,49.4,2740,43.7,50.3,7,4
"192","Male",130351,50.1,3517,56.1,49.7,7,4
"193","Female",134224,49.4,2759,43.8,50.3,7,5
"194","Male",136050,50.1,3534,56.1,49.7,7,5
"195","Female",137284,49.4,2785,43.8,50.3,7,6
"196","Male",139077,50.1,3569,56.1,49.7,7,6
"197","Female",142868,49.4,2831,43.7,50.3,7,7
"198","Male",145044,50.1,3636,56.2,49.7,7,7
"199","Female",146384,49.4,2888,43.6,50.3,7,8
"200","Male",148498,50.1,3725,56.3,49.7,7,8
"201","Female",150192,49.4,2951,43.5,50.3,7,9
"202","Male",152444,50.1,3828,56.4,49.7,7,9
"203","Female",154241,49.4,2989,43.4,50.3,7,10
"204","Male",156397,50.1,3895,56.5,49.7,7,10
"205","Female",158488,49.4,3026,43.3,50.3,7,11
"206","Male",160558,50,3954,56.6,49.7,7,11
"207","Female",162718,49.4,3040,43.3,50.3,7,12
"208","Male",164635,50,3965,56.5,49.7,7,12
"209","Female",166525,49.5,3046,43.3,50.3,7,13
"210","Male",168074,50,3983,56.6,49.7,7,13
"211","Female",172288,49.6,3107,43.4,50.3,7,14
"212","Male",173454,49.9,4048,56.5,49.7,7,14
"213","Female",176728,49.6,3151,43.3,50.3,7,15
"214","Male",177540,49.8,4122,56.6,49.7,7,15
"215","Female",181894,49.7,3194,43.1,50.3,7,16
"216","Male",182303,49.8,4205,56.8,49.7,7,16
"217","Female",186551,49.7,3242,43.1,50.3,7,17
"218","Male",186838,49.8,4279,56.8,49.7,7,17
"219","Female",191173,49.7,3279,43,50.3,7,18
"220","Male",191472,49.8,4331,56.8,49.7,7,18
"221","Female",194690,49.7,3290,43,50.3,7,19
"222","Male",194780,49.7,4351,56.9,49.7,7,19
"223","Female",199561,49.8,3303,43,50.3,7,20
"224","Male",199097,49.7,4364,56.8,49.7,7,20
"225","Female",206176,49.9,3346,42.9,50.3,7,21
"226","Male",205180,49.6,4436,56.9,49.7,7,21
"227","Female",212405,49.9,3409,42.9,50.3,7,22
"228","Male",210959,49.6,4530,57,49.7,7,22
"229","Female",217370,49.9,3466,42.8,50.3,7,23
"230","Male",215652,49.5,4620,57.1,49.7,7,23
"231","Female",222622,50,3523,42.7,50.3,7,24
"232","Male",220392,49.5,4708,57.1,49.7,7,24
"233","Female",226906,50,3577,42.7,50.3,7,25
"234","Male",224248,49.4,4794,57.2,49.7,7,25
"235","Female",230423,50,3591,42.7,50.3,7,26
"236","Male",227545,49.4,4810,57.2,49.7,7,26
"237","Female",233477,50,3607,42.8,50.3,7,27
"238","Male",230415,49.4,4818,57.1,49.7,7,27
"239","Female",238049,50.1,3630,42.6,50.3,7,28
"240","Male",234575,49.4,4875,57.2,49.7,7,28
"241","Female",242598,50,3740,42.7,50.3,7,29
"242","Male",238861,49.2,5000,57.1,49.7,7,29
"243","Female",246279,49.9,3831,42.9,50.3,7,30
"244","Male",242315,49.1,5095,57,49.7,7,30
"245","Female",249479,49.9,3904,42.9,50.3,7,31
"246","Male",245247,49,5178,56.9,49.7,7,31
"247","Female",254017,49.9,3962,42.8,50.3,8,1
"248","Male",249405,49,5277,57,49.7,8,1
"249","Female",256875,49.9,3991,42.8,50.3,8,2
"250","Male",252050,49,5322,57.1,49.7,8,2
"251","Female",259130,49.9,4000,42.8,50.3,8,3
"252","Male",254274,49,5336,57.1,49.7,8,3
"253","Female",261806,49.9,4074,42.8,50.3,8,4
"254","Male",256828,48.9,5432,57.1,49.7,8,4
"255","Female",269155,50,4188,42.7,50.3,8,6
"256","Male",263409,48.9,5605,57.2,49.7,8,6
"257","Female",273123,50,4252,42.6,50.3,8,7
"258","Male",266780,48.9,5718,57.3,49.7,8,7
"259","Female",277523,50.1,4328,42.5,50.3,8,8
"260","Male",270528,48.8,5831,57.3,49.7,8,8
"261","Female",281543,50.1,4363,42.6,50.3,8,9
"262","Male",274192,48.8,5870,57.3,49.7,8,9
"263","Female",287810,50.1,4376,42.6,50.3,8,10
"264","Male",279981,48.7,5881,57.3,49.7,8,10
"265","Female",293952,50.2,4462,42.5,50.3,8,11
"266","Male",285476,48.7,6012,57.3,49.7,8,11
"267","Female",297645,50.2,4537,42.5,50.3,8,12
"268","Male",288921,48.7,6112,57.3,49.7,8,12
"269","Female",301863,50.2,4602,42.5,50.3,8,13
"270","Male",292627,48.7,6211,57.3,49.7,8,13
"271","Female",308346,50.2,4673,42.5,50.3,8,14
"272","Male",298738,48.7,6304,57.3,49.7,8,14
"273","Female",312301,50.2,4714,42.5,50.3,8,15
"274","Male",302532,48.7,6371,57.4,49.7,8,15
"275","Female",315642,50.3,4718,42.5,50.3,8,16
"276","Male",305562,48.7,6377,57.4,49.7,8,16
"277","Female",317984,50.3,4728,42.4,50.3,8,17
"278","Male",307821,48.7,6402,57.4,49.7,8,17
"279","Female",321189,50.3,4784,42.3,50.3,8,18
"280","Male",310752,48.6,6502,57.5,49.7,8,18
"281","Female",324262,50.3,4856,42.4,50.3,8,19
"282","Male",313639,48.6,6594,57.5,49.7,8,19
"283","Female",327161,50.3,4905,42.3,50.3,8,20
"284","Male",316372,48.6,6667,57.5,49.7,8,20
"285","Female",330632,50.3,4966,42.3,50.3,8,21
"286","Male",319444,48.6,6758,57.6,49.7,8,21
"287","Female",334071,50.3,5044,42.2,50.3,8,22
"288","Male",322768,48.6,6883,57.6,49.7,8,22
"289","Female",336578,50.3,5047,42.2,50.3,8,23
"290","Male",325212,48.6,6887,57.6,49.7,8,23
"291","Female",338946,50.4,5071,42.2,50.3,8,24
"292","Male",327315,48.6,6911,57.6,49.7,8,24
"293","Female",342058,50.4,5140,42.3,50.3,8,25
"294","Male",330194,48.6,6998,57.6,49.7,8,25
"295","Female",344479,50.4,5203,42.3,50.3,8,26
"296","Male",332354,48.6,7072,57.5,49.7,8,26
"297","Female",347253,50.4,5273,42.3,50.3,8,27
"298","Male",334946,48.6,7166,57.5,49.7,8,27
"299","Female",349907,50.4,5317,42.3,50.3,8,28
"300","Male",337348,48.6,7230,57.5,49.7,8,28
"301","Female",353037,50.4,5388,42.3,50.3,8,29
"302","Male",340298,48.6,7335,57.6,49.7,8,29
"303","Female",355181,50.4,5399,42.3,50.3,8,30
"304","Male",342297,48.6,7336,57.5,49.7,8,30
"305","Female",357162,50.5,5409,42.3,50.3,8,31
"306","Male",344006,48.6,7364,57.6,49.7,8,31
"307","Female",359315,50.5,5473,42.3,50.3,9,1
"308","Male",346117,48.6,7456,57.6,49.7,9,1
"309","Female",362183,50.5,5538,42.2,50.3,9,2
"310","Male",348495,48.6,7558,57.6,49.7,9,2
"311","Female",364956,50.5,5616,42.3,50.3,9,3
"312","Male",350835,48.6,7652,57.6,49.7,9,3
"313","Female",367462,50.5,5699,42.3,50.3,9,4
"314","Male",353245,48.6,7746,57.5,49.7,9,4
"315","Female",369877,50.5,5755,42.3,50.3,9,5
"316","Male",355719,48.6,7814,57.5,49.7,9,5
"317","Female",371456,50.5,5760,42.4,50.3,9,6
"318","Male",357224,48.6,7813,57.5,49.7,9,6
"319","Female",372728,50.5,5783,42.4,50.3,9,7
"320","Male",358617,48.6,7841,57.5,49.7,9,7
"321","Female",373544,50.5,5823,42.4,50.3,9,8
"322","Male",359429,48.6,7881,57.4,49.7,9,8
"323","Female",375254,50.5,5875,42.4,50.3,9,9
"324","Male",361051,48.6,7949,57.4,49.7,9,9
"325","Female",376954,50.5,5927,42.4,50.3,9,10
"326","Male",362679,48.6,8012,57.4,49.7,9,10
"327","Female",378984,50.5,5975,42.4,50.3,9,11
"328","Male",364731,48.6,8083,57.4,49.7,9,11
"329","Female",381278,50.5,6031,42.4,50.3,9,12
"330","Male",367162,48.6,8154,57.4,49.7,9,12
"331","Female",382809,50.5,6030,42.4,50.3,9,13
"332","Male",368459,48.6,8156,57.4,49.7,9,13
"333","Female",383892,50.5,6055,42.5,50.3,9,14
"334","Male",369597,48.6,8180,57.4,49.7,9,14
"335","Female",385393,50.5,6132,42.6,50.3,9,15
"336","Male",371046,48.6,8254,57.3,49.7,9,15
"337","Female",386895,50.5,6176,42.5,50.3,9,16
"338","Male",372752,48.6,8315,57.3,49.7,9,16
"339","Female",388633,50.5,6224,42.6,50.3,9,17
"340","Male",374646,48.7,8377,57.3,49.7,9,17
"341","Female",390834,50.5,6277,42.5,50.3,9,18
"342","Male",376730,48.7,8457,57.3,49.7,9,18
"343","Female",392944,50.5,6320,42.6,50.3,9,19
"344","Male",378892,48.7,8500,57.2,49.7,9,19
"345","Female",394632,50.5,6329,42.6,50.3,9,20
"346","Male",380480,48.7,8516,57.3,49.7,9,20
"347","Female",395828,50.5,6346,42.6,50.3,9,21
"348","Male",381901,48.7,8526,57.2,49.7,9,21
"349","Female",397436,50.5,6397,42.5,50.3,9,22
"350","Male",383438,48.7,8611,57.3,49.7,9,22
"351","Female",399084,50.5,6450,42.6,50.3,9,23
"352","Male",384959,48.7,8674,57.2,49.7,9,23
"353","Female",400779,50.5,6500,42.6,50.3,9,24
"354","Male",386661,48.7,8725,57.2,49.7,9,24
"355","Female",402911,50.5,6553,42.7,50.3,9,25
"356","Male",388687,48.7,8776,57.1,49.7,9,25
"357","Female",404887,50.5,6585,42.7,50.3,9,26
"358","Male",390753,48.7,8815,57.1,49.7,9,26
"359","Female",406263,50.5,6595,42.7,50.3,9,27
"360","Male",392328,48.7,8824,57.1,49.7,9,27
"361","Female",407312,50.4,6598,42.7,50.3,9,28
"362","Male",393417,48.7,8834,57.1,49.7,9,28
"363","Female",408908,50.4,6683,42.7,50.3,9,29
"364","Male",395012,48.7,8943,57.1,49.7,9,29
"365","Female",410433,50.4,6729,42.7,50.3,9,30
"366","Male",396552,48.7,8997,57.1,49.7,9,30
"367","Female",412239,50.4,6787,42.6,50.3,10,1
"368","Male",398313,48.7,9100,57.2,49.7,10,1
"369","Female",413300,50.4,6795,42.7,50.3,10,2
"370","Male",399431,48.7,9106,57.2,49.7,10,2
"371","Female",415440,50.4,6821,42.6,50.3,10,3
"372","Male",401556,48.7,9147,57.2,49.7,10,3
"373","Female",416956,50.4,6829,42.6,50.3,10,4
"374","Male",403070,48.8,9160,57.2,49.7,10,4
"375","Female",417819,50.4,6839,42.6,50.3,10,5
"376","Male",403885,48.8,9176,57.2,49.7,10,5
"377","Female",419257,50.4,6883,42.7,50.3,10,6
"378","Male",405212,48.7,9220,57.2,49.7,10,6
"379","Female",421112,50.4,6922,42.7,50.3,10,7
"380","Male",406928,48.7,9275,57.2,49.7,10,7
"381","Female",423126,50.5,6958,42.7,50.3,10,8
"382","Male",408687,48.7,9311,57.1,49.7,10,8
"383","Female",425304,50.5,6990,42.7,50.3,10,9
"384","Male",410644,48.7,9362,57.2,49.7,10,9
"385","Female",427180,50.5,7026,42.7,50.3,10,10
"386","Male",412555,48.7,9406,57.1,49.7,10,10
"387","Female",428996,50.5,7026,42.7,50.3,10,11
"388","Male",414166,48.7,9416,57.2,49.7,10,11
"389","Female",430237,50.5,7032,42.7,50.3,10,12
"390","Male",415294,48.7,9420,57.2,49.7,10,12
"391","Female",431587,50.5,7055,42.7,50.3,10,13
"392","Male",416579,48.7,9439,57.1,49.7,10,13
"393","Female",433299,50.5,7105,42.7,50.3,10,14
"394","Male",418205,48.7,9488,57.1,49.7,10,14
"395","Female",434912,50.5,7138,42.7,50.3,10,15
"396","Male",419655,48.7,9545,57.1,49.7,10,15
"397","Female",436495,50.5,7184,42.8,50.3,10,16
"398","Male",421047,48.7,9576,57,49.7,10,16
"399","Female",437997,50.5,7225,42.8,50.3,10,17
"400","Male",422413,48.7,9628,57,49.7,10,17
"401","Female",439844,50.5,7230,42.8,50.3,10,18
"402","Male",424039,48.7,9634,57,49.7,10,18
"403","Female",441502,50.5,7238,42.8,50.3,10,19
"404","Male",425648,48.7,9640,57,49.7,10,19
"405","Female",443416,50.5,7273,42.8,50.3,10,20
"406","Male",427427,48.7,9684,57,49.7,10,20
"407","Female",444925,50.5,7327,42.8,50.3,10,21
"408","Male",428858,48.7,9767,57,49.7,10,21
"409","Female",448100,50.5,7358,42.8,50.3,10,22
"410","Male",431774,48.7,9798,57,49.7,10,22
"411","Female",451184,50.5,7373,42.8,50.3,10,23
"412","Male",434601,48.7,9829,57,49.7,10,23
"413","Female",453853,50.5,7393,42.8,50.3,10,24
"414","Male",437115,48.7,9864,57.1,49.7,10,24
"415","Female",455339,50.5,7400,42.8,50.3,10,25
"416","Male",438587,48.7,9869,57.1,49.7,10,25
"417","Female",456990,50.5,7409,42.8,50.3,10,26
"418","Male",440111,48.7,9875,57,49.7,10,26
"419","Female",459278,50.5,7440,42.7,50.3,10,27
"420","Male",442321,48.7,9960,57.1,49.7,10,27
"421","Female",461383,50.5,7475,42.7,50.3,10,28
"422","Male",444378,48.7,9996,57.1,49.7,10,28
"423","Female",463411,50.5,7487,42.7,50.3,10,29
"424","Male",446320,48.7,10028,57.1,49.7,10,29
"425","Female",466008,50.5,7506,42.6,50.3,10,30
"426","Male",448772,48.7,10067,57.2,49.7,10,30
"427","Female",468321,50.5,7533,42.7,50.3,10,31
"428","Male",450953,48.7,10098,57.2,49.7,10,31
"429","Female",470424,50.5,7541,42.6,50.3,11,1
"430","Male",452908,48.7,10111,57.2,49.7,11,1
"431","Female",472513,50.6,7543,42.6,50.3,11,2
"432","Male",454850,48.7,10118,57.2,49.7,11,2
"433","Female",475256,50.6,7574,42.6,50.3,11,3
"434","Male",457423,48.7,10166,57.2,49.7,11,3
"435","Female",477502,50.6,7610,42.7,50.3,11,4
"436","Male",459667,48.7,10192,57.2,49.7,11,4
